President,Ranking
George Washington,4
George Washington,4
John Adams,17
Thomas Jefferson,5
Thomas Jefferson,5
James Madison,6
James Madison,6
James Monroe,7
James Monroe,7
John Quincy Adams,19
Andrew Jackson,14
Andrew Jackson,14
Martin van Buren,23
William Henry Harrison,35
James K. Polk,12
Zachary Taylor,33
Franklin Pierce,40
James Buchanan,42
Abraham Lincoln,3
Abraham Lincoln,3
Ulysses S. Grant,26
Ulysses S. Grant,26
Rutherford B. Hayes,31
James Garfield,27
Grover Cleveland - I,20
Benjamin Harrison,34
Grover Cleveland - II,20
William McKinley,21
William McKinley,21
Theodore Roosevelt,2
William Howard Taft,24
Woodrow Wilson,8
Woodrow Wilson,8
Warren G. Harding,41
Calvin Coolidge,29
Herbert Hoover,36
Franklin D. Roosevelt,1
Franklin D. Roosevelt,1
Franklin D. Roosevelt,1
Franklin D. Roosevelt,1
Harry S. Truman,9
Dwight D. Eisenhower,10
Dwight D. Eisenhower,10
John F. Kennedy,11
Lyndon B. Johnson,16
Richard Nixon,30
Richard Nixon,30
Jimmy Carter,32
Ronald Reagan,18
Ronald Reagan,18
George Bush,22
William J. Clinton,13
William J. Clinton,13
George W. Bush,39
George W. Bush,39
Barack Obama,15
Barack Obama,15
Donald J. Trump,
